name,fullName,signature,filename,start_line,end_line,column,cyclomaticComplexity,numberOfLines,parameters
MPU_ulTaskGenericNotifyTake,MPU_ulTaskGenericNotifyTake,"uint32_t(UBaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,845,866,9,-1,-1,"UBaseType_t uxIndexToWaitOn, BaseType_t xClearCountOnExit, TickType_t xTicksToWait"
MPU_xTaskGenericNotifyStateClear,MPU_xTaskGenericNotifyStateClear,"BaseType_t(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,876,896,9,-1,-1,"TaskHandle_t xTask, UBaseType_t uxIndexToClear"
MPU_ulTaskGenericNotifyValueClear,MPU_ulTaskGenericNotifyValueClear,"uint32_t(TaskHandle_t,UBaseType_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,907,928,9,-1,-1,"TaskHandle_t xTask, UBaseType_t uxIndexToClear, uint32_t ulBitsToClear"
MPU_xQueueGenericSend,MPU_xQueueGenericSend,"BaseType_t(QueueHandle_t,void*,TickType_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,938,960,5,-1,-1,"QueueHandle_t xQueue, void* pvItemToQueue, TickType_t xTicksToWait, BaseType_t xCopyPosition"
MPU_uxQueueMessagesWaiting,MPU_uxQueueMessagesWaiting,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,965,984,5,-1,-1,QueueHandle_t xQueue
MPU_uxQueueSpacesAvailable,MPU_uxQueueSpacesAvailable,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,989,1008,5,-1,-1,QueueHandle_t xQueue
MPU_xQueueReceive,MPU_xQueueReceive,"BaseType_t(QueueHandle_t,void*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1015,1036,5,-1,-1,"QueueHandle_t xQueue, void* pvBuffer, TickType_t xTicksToWait"
MPU_xQueuePeek,MPU_xQueuePeek,"BaseType_t(QueueHandle_t,void*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1043,1064,5,-1,-1,"QueueHandle_t xQueue, void* pvBuffer, TickType_t xTicksToWait"
MPU_xQueueSemaphoreTake,MPU_xQueueSemaphoreTake,"BaseType_t(QueueHandle_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1070,1090,5,-1,-1,"QueueHandle_t xQueue, TickType_t xTicksToWait"
MPU_xQueueGetMutexHolder,MPU_xQueueGetMutexHolder,TaskHandle_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1097,1116,9,-1,-1,QueueHandle_t xSemaphore
MPU_xQueueTakeMutexRecursive,MPU_xQueueTakeMutexRecursive,"BaseType_t(QueueHandle_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1126,1146,9,-1,-1,"QueueHandle_t xMutex, TickType_t xTicksToWait"
MPU_xQueueGiveMutexRecursive,MPU_xQueueGiveMutexRecursive,BaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1155,1174,9,-1,-1,QueueHandle_t pxMutex
MPU_vQueueAddToRegistry,MPU_vQueueAddToRegistry,"void(QueueHandle_t,char*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1244,1264,9,-1,-1,"QueueHandle_t xQueue, char* pcName"
MPU_vQueueUnregisterQueue,MPU_vQueueUnregisterQueue,void(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1273,1292,9,-1,-1,QueueHandle_t xQueue
MPU_pcQueueGetName,MPU_pcQueueGetName,char*(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1301,1320,9,-1,-1,QueueHandle_t xQueue
MPU_pvTimerGetTimerID,MPU_pvTimerGetTimerID,void*(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1329,1348,9,-1,-1,TimerHandle_t xTimer
MPU_vTimerSetTimerID,MPU_vTimerSetTimerID,"void(TimerHandle_t,void*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1358,1378,9,-1,-1,"TimerHandle_t xTimer, void* pvNewID"
MPU_xTimerIsTimerActive,MPU_xTimerIsTimerActive,BaseType_t(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1387,1406,9,-1,-1,TimerHandle_t xTimer
MPU_xTimerGetTimerDaemonTaskHandle,MPU_xTimerGetTimerDaemonTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1415,1434,9,-1,-1,void
MPU_xTimerGenericCommandFromTaskEntry,MPU_xTimerGenericCommandFromTaskEntry,BaseType_t(xTimerGenericCommandFromTaskParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1443,1462,9,-1,-1,xTimerGenericCommandFromTaskParams_t* pxParams
MPU_pcTimerGetName,MPU_pcTimerGetName,char*(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1471,1490,9,-1,-1,TimerHandle_t xTimer
MPU_vTimerSetReloadMode,MPU_vTimerSetReloadMode,"void(TimerHandle_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1500,1520,9,-1,-1,"TimerHandle_t xTimer, BaseType_t xAutoReload"
MPU_xTimerGetReloadMode,MPU_xTimerGetReloadMode,BaseType_t(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1529,1548,9,-1,-1,TimerHandle_t xTimer
MPU_uxTimerGetReloadMode,MPU_uxTimerGetReloadMode,UBaseType_t(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1557,1576,9,-1,-1,TimerHandle_t xTimer
MPU_xTimerGetPeriod,MPU_xTimerGetPeriod,TickType_t(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1585,1604,9,-1,-1,TimerHandle_t xTimer
MPU_xTimerGetExpiryTime,MPU_xTimerGetExpiryTime,TickType_t(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1613,1632,9,-1,-1,TimerHandle_t xTimer
MPU_xEventGroupWaitBitsEntry,MPU_xEventGroupWaitBitsEntry,EventBits_t(xEventGroupWaitBitsParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1641,1661,9,-1,-1,xEventGroupWaitBitsParams_t* pxParams
MPU_xEventGroupClearBits,MPU_xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1671,1692,9,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToClear"
MPU_xEventGroupSetBits,MPU_xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1702,1723,9,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToSet"
MPU_xEventGroupSync,MPU_xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1735,1758,9,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToSet, EventBits_t uxBitsToWaitFor, TickType_t xTicksToWait"
MPU_uxEventGroupGetNumber,MPU_uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1767,1786,9,-1,-1,void* xEventGroup
MPU_vEventGroupSetNumber,MPU_vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1796,1816,9,-1,-1,"void* xEventGroup, UBaseType_t uxEventGroupNumber"
MPU_xStreamBufferSend,MPU_xStreamBufferSend,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1828,1851,9,-1,-1,"StreamBufferHandle_t xStreamBuffer, void* pvTxData, size_t xDataLengthBytes, TickType_t xTicksToWait"
MPU_xStreamBufferReceive,MPU_xStreamBufferReceive,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1863,1886,9,-1,-1,"StreamBufferHandle_t xStreamBuffer, void* pvRxData, size_t xBufferLengthBytes, TickType_t xTicksToWait"
