function_name,signature,source_file,full_name,index
portPERIPHERALS_START_ADDRESS,ANY(0),mpu_demo.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdMS_TO_TICKS:ANY(1),526
portMPU_REGION_READ_WRITE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portDISABLE_INTERRUPTS:ANY(0),527
pvPortMallocStack,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:portBASE_TYPE_ENTER_CRITICAL:ANY(0),528
portMPU_TYPE_REG,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portMPU_REGION_CACHEABLE_BUFFERABLE:ANY(0),531
portNVIC_PENDSVSET_BIT,char*(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskNOT_WAITING_NOTIFICATION:ANY(0),538
portSTART_ADDRESS_MASK,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:queueQUEUE_IS_MUTEX:ANY(0),540
portMPU_REGION_BASE_ADDRESS_REG,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portPERIPHERALS_START_ADDRESS:unsigned longint(0),544
portNVIC_INT_CTRL_REG,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listGET_LIST_ITEM_OWNER:ANY(1),547
portOFFSET_TO_LR,ANY(0),fuzz_harness.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_wrappers.h:xQueueReceive:ANY(0),548
portNUM_CONFIGURABLE_REGIONS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_syscall_numbers.h:NUM_SYSTEM_CALLS:int(0),551
portINITIAL_EXC_RETURN,int(0),mpu_demo.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:tskIDLE_PRIORITY:ANY(0),552
portGET_CORE_ID,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:configSTACK_DEPTH_TYPE:ANY(0),555
portFIRST_USER_INTERRUPT_NUMBER,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c:configTIMER_SERVICE_TASK_NAME:char*(0),557
portPRIORITY_GROUP_MASK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portSTART_ADDRESS_MASK:ANY(0),558
portASSERT_IF_INTERRUPT_PRIORITY_INVALID,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOS.h:configMIN:ANY(2),559
heapALLOCATE_BLOCK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskSWITCH_DELAYED_LISTS:ANY(0),561
portPSR_STACK_PADDING_MASK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portINITIAL_EXC_RETURN:ANY(0),570
vPortFreeStack,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_GetIndexForTaskHandle:ANY(1),572
heapMINIMUM_BLOCK_SIZE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_STOP_FROM_ISR:ANY(0),574
