function_name,signature,filename,line_number,full_name,index
vRevokeAccessToKernelObject,"void(TaskHandle_t,int32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_GetFreeIndexInKernelObjectPool,123
MPU_TimerCallback,void(TimerHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_SetIndexFreeInKernelObjectPool,124
MPU_xTaskDelayUntilImpl,"BaseType_t(TickType_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_GetIndexForHandle,125
MPU_xTaskAbortDelayImpl,BaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_StoreHandleAndDataAtIndex,126
MPU_vTaskDelayImpl,void(TickType_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_GetHandleAtIndex,127
MPU_uxTaskPriorityGetImpl,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,vGrantAccessToKernelObject,128
MPU_eTaskGetStateImpl,eTaskState(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,vRevokeAccessToKernelObject,129
MPU_vTaskGetInfoImpl,"void(TaskHandle_t,TaskStatus_t*,BaseType_t,eTaskState)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_TimerCallback,130
MPU_xTaskGetIdleTaskHandleImpl,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskDelayUntilImpl,131
MPU_vTaskSuspendImpl,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskAbortDelayImpl,132
MPU_vTaskResumeImpl,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskDelayImpl,133
MPU_xTaskGetTickCountImpl,TickType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_uxTaskPriorityGetImpl,134
MPU_uxTaskGetNumberOfTasksImpl,UBaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_eTaskGetStateImpl,135
MPU_uxTaskGetSystemStateImpl,"UBaseType_t(TaskStatus_t*,UBaseType_t,uint32_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vTaskGetInfoImpl,136
MPU_uxTaskGetStackHighWaterMarkImpl,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTaskGetIdleTaskHandleImpl,137
